Title,Price,Link
Разработка модуля ЭЦП для интеграции в CRM-систему,60 000 руб. за проект,https://freelance.habr.com//tasks/555677
Разработка MVP игры на Unity,50 000 руб. за проект,https://freelance.habr.com//tasks/555637
Desctop приложение под Windows (.NET C#),договорная,https://freelance.habr.com//tasks/555581
Поставить на сервер и сделать вебсокет (с++),15 000 руб. за проект,https://freelance.habr.com//tasks/555563
Доработка темы Плагина  Wordpress,договорная,https://freelance.habr.com//tasks/555429
"Создание статей и постов по тематике ит, Java, go , c#, ML, linux",500 руб. за проект,https://freelance.habr.com//tasks/555407
Автоматическая регистрация на бирже mexc + outlook,120 000 руб. за проект,https://freelance.habr.com//tasks/555363
Разработать middleware между кассовым принтером и POS системой,20 000 руб. за проект,https://freelance.habr.com//tasks/555275
Подбор ПК-комплектующих с помощью ИИ,договорная,https://freelance.habr.com//tasks/555261
Выполнить несколько задач для проекта(c#+mvc5+ javascript+jquery+css3),1 300 руб. за час,https://freelance.habr.com//tasks/555225
Разработать прототип мобильной игры для Unity,договорная,https://freelance.habr.com//tasks/555135
Реализовать telegrambot c gpt на c# .net,5 000 руб. за проект,https://freelance.habr.com//tasks/554911
"Разработать небольшую CRM под Windows на С++, asp.net",20 000 руб. за проект,https://freelance.habr.com//tasks/554879
Разработать плагин iikoFront,20 000 руб. за проект,https://freelance.habr.com//tasks/554835
Управление телевизором через HDMI CEC или микроконтроллер,100 000 руб. за проект,https://freelance.habr.com//tasks/554663
Нужен парсер картографического сервиса,100 000 руб. за проект,https://freelance.habr.com//tasks/554583
Нужен парсер картографического сервиса,50 000 руб. за проект,https://freelance.habr.com//tasks/554579
Доработать систему поиска на Python за счет определения значений c ИИ,договорная,https://freelance.habr.com//tasks/554253
Разработать дизайн интернет-магазина,договорная,https://freelance.habr.com//tasks/554195
Сверстать внешнюю оболочку под биллинг систему,200 000 руб. за проект,https://freelance.habr.com//tasks/554167
Разработка парсера для маркетплейса,договорная,https://freelance.habr.com//tasks/554143
